"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"Minnesota",21,169900,169900,169900,169900,169900,169900,164900,164900,179000,169900,169000,159900,154900,152000,156900,159500,159900,159800,158000,155500,154900,149000,139900,129900,129000,129000,129900,131500,130000,134900,134900,134900,135000,144897.5,162900,159900,159900,165900,169900,174900,179900,184850,184900,184900,184900,185000,179900,179900,174900,180000,189900,194900,199900,2e+05,2e+05,199900,199900,199900,199900,199000,199300,2e+05,214900,217350,220000,224900,224900,220000,219999,219900,219900,215500,219000,219900,228900,229700,229000,229900,229500,225000,225000,225000,225000,224900,219900,235000,239999,245000,249900,249900,249900,247000,249000,248500,249900,249900,249999,264000
"Colorado",22,248252.5,244000,240000,240000,244900,245000,245000,249800,249950,234900,220000,215000,215000,211900,217000,220000,229900,235000,239250,235000,229900,220000,212900,199900,2e+05,207000,210000,214000,219000,219950,220000,219950,216000,219000,254900,251492.5,254900,258000,260950,269774,275000,279000,281332.5,284900,289900,285000,285000,289900,289900,295000,299000,3e+05,305950,314900,314900,315000,317500,319000,320000,325000,334900,329900,334900,340000,345000,349000,350000,349900,350000,350000,350000,360000,369500,365945,370000,374900,375000,375000,375000,374999,375000,375000,375000,375000,378790,385000,390000,399000,399900,4e+05,407032.5,404900,408995,407500,4e+05,405000,405900,415000
"Alabama",23,169900,169900,169500,165000,167385,165000,164900,159900,164900,159900,158900,155000,152500,150000,155000,159000,159000,159900,159900,159000,157000,154900,149900,149900,149900,149900,149900,149000,144500,149000,149900,149900,149000,149900,159900,159900,159900,159900,161895,164900,167250,167900,167500,166500,167000,165000,164900,164900,163400,166900,169900,169900,172900,174500,174500,171318,169900,169900,169900,165000,169900,169900,170400,175000,174900,174900,174500,173000,175000,174000,172998,171900,170000,169900,174000,177500,178388,179000,178704,176000,175000,174900,175000,174900,174900,178500,180000,189900,189900,189900,190000,189900,193900,192000,189900,189500,189500,190000
"South Carolina",24,189000,185000,182000,179900,178518,175900,174948.5,174900,179900,175000,171900,169900,167000,164659,168000,168000,168500,169000,165000,159000,153900,149900,135500,149750,145000,148900,149900,148000,149000,148900,146480,145000,142900,145000,168500,168900,169500,169900,173000,175000,175000,179000,179000,179500,179500,179900,179000,179900,179900,180900,185000,187900,189899,189900,189900,189000,189900,190000,192900,191220.5,190000,194900,195000,199900,2e+05,199900,207626.5,203900,208000,207900,209900,210000,212000,214990,219000,219500,219900,222500,224500,219900,219900,219900,219900,219000,219000,220000,225000,229595,230000,233000,234900,234582,239000,239500,239900,239000,237862,239000
"Louisiana",25,172900,170000,170000,171181,169900,169900,169900,169900,172000,168500,165000,163500,156700,154900,159500,159900,160000,159900,159000,157500,155000,150000,149900,149000,149000,149500,149900,149900,149900,150000,150000,149900,149612.5,149900,160000,159900,162000,162300,165000,169000,169800,169900,169500,168000,168050,168000,165000,165000,164450,165000,165000,169000,170000,171900,170304,175000,175000,175000,175900,175000,175500,179000,179900,180000,184500,184900,184900,184900,185000,184900,185000,185000,187900,189900,194500,199000,199000,199500,199000,199000,198500,199000,197375,197145,195000,194900,198000,2e+05,205612,205000,205000,203900,203900,204999.5,204900,201900,199900,2e+05
"Kentucky",26,149900,149750,148999.5,149000,149000,149000,148000,145900,147900,144900,140000,139900,136500,136350,139500,139900,142500,139900,139900,139200,137500,134900,130000,129000,127500,128900,129900,129900,129900,129900,129400,128000,124900,124900,139500,138500,137995,138900,139900,139900,140000,139900,139900,139900,139900,139900,139000,139000,137900,139900,140000,145000,148500,149900,149900,149775,149900,149900,149000,147900,147909,149900,149900,150000,157000,158800,158500,158000,159000,156000,155000,151900,150000,150000,154500,159500,159900,162800,164900,159925,159900,159900,159900,159900,159000,159900,165000,169900,174475,173250,174000,170000,170000,170000,169900,169900,170000,174900
"Oregon",27,225662.5,224900,224900,219900,217425,219900,219900,219900,224500,209000,199000,190000,180000,180000,194000,187900,189000,189990,195000,198500,195000,188500,178000,169900,174900,175900,179950,185000,185000,189900,190000,2e+05,208900,215000,229000,229000,229900,234950,239000,249000,250000,259000,259066,257500,257000,257000,252000,249900,249900,250000,254995,262900,259900,268490,270000,269900,269000,264900,264900,259900,260000,265000,269950,275000,279900,285000,285000,285900,289000,289900,289900,289000,287763.5,289900,299000,3e+05,315000,319900,324900,324900,325000,325000,324900,322500,320000,325000,329900,340000,349900,353000,357500,350000,353900,354900,350000,350000,349999,359500
"Oklahoma",28,139900,139900,139000,136079,136000,137500,135000,134900,139000,138500,139140.5,135400,131900,129900,134900,135000,135000,135000,134000,130000,129900,127000,124900,123342,120000,124900,128000,124900,128500,129900,125000,124000,119900,119900,139900,139500,139500,140000,140000,144500,144900,145900,144900,144500,144900,145000,144900,145000,144900,145800,147600,149900,150000,150785,152000,153900,152538.5,150000,153380,149900,154900,157000,159000,159900,160000,160900,162500,161900,164087.5,162500,163900,163315,164900,163000,165604,169318,169900,172500,173000,171900,172000,170000,172500,174500,172000,171812,174500,176000,179500,179900,180000,179377,179900,179500,179000,175000,175000,178900
"Connecticut",29,,,285000,283249.5,284900,285000,279900,279900,279900,279900,279000,269900,269900,274000,279000,279900,284900,285000,279900,275000,273000,268700,264900,259900,259000,259900,265000,269500,274108,274900,269900,264900,264900,259900,259900,255000,254000,260900,269900,279000,284900,280000,279000,269900,269900,269000,264900,259900,259000,264000,269900,279900,280000,284900,279900,274900,274500,274000,269000,259900,263000,269500,274999.5,282900,285000,287500,285000,279000,279900,279900,279000,274900,274900,279900,289000,295000,299900,299900,299900,299000,299000,299000,298765,289900,289500,297750,299900,310000,319000,319000,314949.5,305000,309900,309900,299999,299900,299900,309000
"Iowa",30,136900,138000,139900,139900,139900,139000,139000,137900,137500,135900,132500,129900,127000,125000,129900,129950,133500,134900,132000,130000,129500,128900,125000,120000,120975,124900,125500,127900,128500,128000,127000,125000,124900,124900,129900,129500,129800,129900,133000,135000,137900,137500,135000,134500,130000,130000,129900,129900,129900,130000,135000,139000,139900,140000,139900,139900,138500,137000,137500,135000,138000,139500,143900,147900,156900,157500,154900,150000,149900,149500,148500,145000,147900,149900,154900,159000,159900,163000,162000,159900,159325,159000,154900,149900,154500,159900,164900,169900,174500,174900,173000,169900,168900,168000,168819,168900,169900,174900
"Mississippi",31,154800,154900,150000,152000,152000,150000,149900,149900,149900,149700,149000,145000,144000,139900,146000,149000,149900,149900,149900,149900,149900,147600,143142.5,139900,140000,139974.5,143000,141500,139900,139900,139900,139900,139900,139900,148500,146000,149000,149000,149900,149900,150025,153900,154500,151000,153000,150000,149900,149900,149900,149900,152500,155000,156500,157937.5,157500,157500,156500,155000,154900,150000,155000,159000,159900,159900,162500,160000,160000,160000,164900,159900,159000,156000,156000,155000,159000,159900,161950,164500,164900,162500,159900,161800,163651,160000,159982,162900,169000,172905.5,175000,175000,175000,174900,175000,176000,174500,174900,174997,175000
"Arkansas",32,142000,142500,139900,139900,139900,141900,140000,139900,143500,140000,139900,138000,133550,129900,135000,137900,139900,139900,139900,142900,140000,140000,140000,139900,139900,142500,139900,137500,139900,141700,143000,143500,139900,139900,144900,142500,142900,144500,144900,146700,147500,147500,145000,144550,144900,140700,139900,139900,139500,139900,139900,141900,143450,145000,145000,145000,145000,145000,144900,144000,144900,147000,149500,149000,153000,154550,155000,153500,150000,150950,149900,149900,149900,149900,150000,151700,156000,157000,158500,155000,154500,152500,149900,149900,149900,151500,155000,159723.5,159900,160000,164675.5,162500,164900,164900,163900,159900,159900,161000
